"CODIGO";"DESCRIPCION";"COSTO";"ULTCOSTO";"PRECIO1";"PRECIO2";"PRECIO3";"PRECIO4";"PRECIO5";"PRECIO6";"PRECIO";"PORCENTAJE";"ULTPRECIO";"MARCA";"COLOR";"CATEGORIA";"SUBCATEGORIA";"UBICACION";"UNIDAD";"DISPONIBLE";"ENPRODUCCION";"NOTAS";"IVA";"TASA";"IMPOTROS";"IIBB";"STOCKMINIMO";"STOCKMAXIMO";"STOCKVENDIDO";"FECHACOMPULT";"LISTA";"PROCEDENCIA";"CODIGOBARRA";"RUBRO";"PROVEEDOR";"GARANTIA";"FECHA";"PEDIDO";"STOCK";"EXISTENTE";"ACTUAL";"MARCADOCONTADO";"MARCADOLISTA";"MARCADOFINAL";"PREPARADO";"CTANOMBRE";"CTATIPO";"CTAANTICIPO";"CTAIIBB";"ESTADO";"VENCE";"VENCIMIENTO";"DESLARGA";"RESERVA";"INDIVIDUAL";"MODIFICADO";"SLUG";"ENLACE";"TIPO";"DESTACADO";"VISIBLE";"REBAJADODESDE";"REBAJADOHASTA";"VIRTUAL";"DESCARGAR";"DESCARGA";"DESCARGARLIMITE";"DESCARGAREXPIRA";"URLEXTERNA";"BOTON";"ESTADOIMPUESTO";"CLASEIMPUESTO";"ESTADOSTOCK";"PESO";"DIMENSION";"CLASEENVIO";"VALORACION";"VENTADIRIGIDA";"VENTACRUZADA";"PADRE";"NOTACOMPRA";"ETIQUETA";"ATRIBUTO";"ATRIBUTOPORDEFECTO";"META";"USD"
21;"gaudi medio osito tricolor";65;;68.25;71.5;74.75;78;81.25;84.5;130;100;;0;0;0;0;"";"c/u";7;;"";;0;0;0;;;;14/06/2019;;"";"0230172";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
22;"adachi b body nena";110;;115.5;121;126.5;132;137.5;143;220;100;;0;0;0;0;"";"c/u";1;;"";;0;0;0;;;;15/06/2019;;"";"91151188";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
23;"baby medio osito inter";27;;28.35;29.7;31.05;32.4;33.75;35.1;54;100;;0;0;0;0;"";"c/u";3;;"";;0;0;0;;;;15/06/2019;;"";"41001550";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
24;"gamise body manga larga";126;;132.3;138.6;144.9;151.2;157.5;163.8;252;100;;0;0;0;0;"";"c/u";2;;"";;0;0;0;;;;15/06/2019;;"";"90384707";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
25;"gamise body manga larga";126;;132.3;138.6;144.9;151.2;157.5;163.8;252;100;;0;0;0;0;"";"c/u";1;;"";;0;0;0;;;;15/06/2019;;"";"90383601";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
26;"gamise body manga larga ";145;;152.25;159.5;166.75;174;181.25;188.5;290;100;;0;0;0;0;"";"c/u";2;;"";;0;0;0;;;;15/06/2019;;"";"90384608";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
27;"adachi b body bebe";110;;115.5;121;126.5;132;137.5;143;220;100;;0;0;0;0;"";"c/u";0;;"";;0;0;0;;;;15/06/2019;;"";"91151163";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
28;"big bay body";120;;126;132;138;144;150;156;240;100;;0;0;0;0;"";"c/u";2;;"";;0;0;0;;;;15/06/2019;;"";"907500650";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
29;"gaudi pantalon sin pie liso";35;;36.75;38.5;40.25;42;43.75;45.5;70;100;;0;0;0;0;"";"c/u";4;;"";;0;0;0;;;;15/06/2019;;"";"0230007";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
30;"shurita porta chupete";25;;26.25;27.5;28.75;30;31.25;32.5;50;100;;0;0;0;0;"";"c/u";1;;"";;0;0;0;;;;15/06/2019;;"";"82190118";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
31;"media elemento";52;;54.6;57.2;59.8;62.4;65;67.6;104;100;;0;0;0;0;"";"c/u";13;;"";;0;0;0;;;;15/06/2019;;"";"685469854";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
